Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
,,,,,,,SI=F,SI=F,SI=F,SI=F,SI=F,,,,
2014-01-02,2014,1,2,Thursday,00,2014-00,20.31,20.32,20.02,20.1,45,20.1,,20.1,20.1
2014-01-03,2014,1,3,Friday,00,2014-00,20.09,20.18,20.09,20.18,22,20.18,0.004179502217869446,20.14,20.14
2014-01-06,2014,1,6,Monday,01,2014-01,20.24,20.24,20.08,20.08,17,20.08,-0.0052026333546919545,20.12,20.12
2014-01-07,2014,1,7,Tuesday,01,2014-01,20.25,20.25,19.67,19.76,27,19.76,-0.015540184284252634,20.03,20.03
2014-01-08,2014,1,8,Wednesday,01,2014-01,19.72,19.74,19.37,19.52,33,19.52,-0.012496825106402376,19.928,19.928
2014-01-09,2014,1,9,Thursday,01,2014-01,19.44,19.66,19.44,19.66,8,19.66,0.0074290634476339434,19.883333333333333,19.883333333333333
2014-01-10,2014,1,10,Friday,01,2014-01,20.2,20.2,20.08,20.2,6,20.2,0.027361038696488205,19.928571428571427,19.928571428571427
2014-01-13,2014,1,13,Monday,02,2014-02,20.3,20.41,20.3,20.36,41,20.36,0.007920392342959826,19.9825,19.9825
2014-01-14,2014,1,14,Tuesday,02,2014-02,20.31,20.53,20.2,20.25,22,20.25,-0.005402515103473227,20.012222222222224,20.012222222222224
2014-01-15,2014,1,15,Wednesday,02,2014-02,20.19,20.19,20.01,20.1,27,20.1,-0.0073082224990854705,20.021,20.021
2014-01-16,2014,1,16,Thursday,02,2014-02,20.12,20.14,20.02,20.02,39,20.02,-0.003880068639121048,20.02090909090909,20.02090909090909
2014-01-17,2014,1,17,Friday,02,2014-02,20.09,20.28,20.09,20.27,475,20.27,0.012084923068365283,20.041666666666668,20.041666666666668
2014-01-21,2014,1,21,Tuesday,03,2014-03,20.3,20.31,19.83,19.84,81,19.84,-0.021167456964194087,20.026153846153843,20.026153846153843
2014-01-22,2014,1,22,Wednesday,03,2014-03,19.81,19.81,19.81,19.81,103,19.81,-0.0014618071162624258,20.010714285714283,20.010714285714283
2014-01-23,2014,1,23,Thursday,03,2014-03,19.92,20.08,19.92,19.99,28,19.99,0.008935334728660038,20.002857142857142,20.009333333333334
2014-01-24,2014,1,24,Friday,03,2014-03,20.16,20.16,19.74,19.74,2,19.74,-0.012158512447487335,19.97142857142857,19.9925
2014-01-27,2014,1,27,Monday,04,2014-04,19.8,19.8,19.56,19.77,13,19.77,0.0014182179955632979,19.94928571428571,19.97941176470588
2014-01-28,2014,1,28,Tuesday,04,2014-04,19.75,19.75,19.48,19.48,2,19.48,-0.014566795212440087,19.929285714285715,19.951666666666668
2014-01-29,2014,1,29,Wednesday,04,2014-04,19.53,19.53,19.53,19.53,9,19.53,0.0025663986510424674,19.93,19.929473684210524
2014-01-30,2014,1,30,Thursday,04,2014-04,19.67,19.67,19.06,19.11,92,19.11,-0.021604508502069852,19.890714285714285,19.8885
2014-01-31,2014,1,31,Friday,04,2014-04,19.33,19.33,19.1,19.1,154,19.1,-0.0003139824592990337,19.812142857142856,19.850952380952382
2014-02-03,2014,2,3,Monday,05,2014-05,19.13,19.51,19.09,19.39,435,19.39,0.014865239651048467,19.74285714285714,19.83
2014-02-04,2014,2,4,Tuesday,05,2014-05,19.4,19.4,19.4,19.4,0,19.4,0.0006705084492328872,19.682142857142853,19.811304347826084
2014-02-05,2014,2,5,Wednesday,05,2014-05,19.75,20.05,19.75,19.78,4,19.78,0.019740202645711413,19.659285714285716,19.81
2014-02-06,2014,2,6,Thursday,05,2014-05,19.91,19.91,19.91,19.91,0,19.91,0.006216886509043951,19.65142857142857,19.814
2014-02-07,2014,2,7,Friday,05,2014-05,19.92,19.92,19.92,19.92,0,19.92,0.0006027290375132388,19.62642857142857,19.818076923076923
2014-02-10,2014,2,10,Monday,06,2014-06,20.1,20.1,20.1,20.1,0,20.1,0.008985986636877996,19.645,19.828518518518518
2014-02-11,2014,2,11,Tuesday,06,2014-06,20.17,20.17,20.14,20.14,2,20.14,0.002189099767358371,19.66857142857143,19.839642857142856
2014-02-12,2014,2,12,Wednesday,06,2014-06,20.25,20.33,20.25,20.33,2,20.33,0.009333253667145991,19.692857142857143,19.856551724137933
2014-02-13,2014,2,13,Thursday,06,2014-06,20.39,20.39,20.39,20.39,0,20.39,0.0026560846074399347,19.739285714285717,19.874333333333333
2014-02-14,2014,2,14,Friday,06,2014-06,20.52,21.42,20.52,21.41,14,21.41,0.05033107960235461,19.856428571428573,19.923870967741934
2014-02-18,2014,2,18,Tuesday,07,2014-07,21.83,21.9,21.82,21.89,12,21.89,0.022418451511866166,20.02857142857143,19.9853125
2014-02-19,2014,2,19,Wednesday,07,2014-07,21.84,21.84,21.7,21.84,129,21.84,-0.002147041405347605,20.19357142857143,20.041515151515153
2014-02-20,2014,2,20,Thursday,07,2014-07,21.68,21.68,21.68,21.68,0,21.68,-0.007599357592682265,20.37714285714286,20.08970588235294
2014-02-21,2014,2,21,Friday,07,2014-07,21.78,21.78,21.78,21.78,0,21.78,0.004566885002571297,20.568571428571428,20.138
2014-02-24,2014,2,24,Monday,08,2014-08,22.05,22.05,22.05,22.05,0,22.05,0.012398422761008998,20.75857142857143,20.191111111111113
2014-02-25,2014,2,25,Tuesday,08,2014-08,21.96,21.96,21.96,21.96,0,21.96,-0.00394619662741813,20.941428571428577,20.23891891891892
